lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.9987636267687278,1.1157702819478756,0.12886400326527905,4577.631097581577,6.58622082247551e-25,AIQ
2,0.998718612533323,1.2436185141859548,0.13441859467341932,4416.623088798098,8.925652959710746e-25,AIQ
3,0.9987071016520573,1.0670100451159077,0.19890333194046123,4119.765396833794,2.6050309198988382e-23,AIQ
4,0.9994416905307997,0.7258650602531618,0.2952969893701689,8950.606658725288,1.2949021768532691e-24,AIQ
5,0.9994743874938381,-0.14078068347629547,0.8387482051174219,8873.863832432526,3.48159730747709e-23,AIQ
6,0.9994176586523917,-0.4558253074264593,0.5595853925263377,7436.892248759522,2.8595502866567154e-21,AIQ
7,0.9993948712493135,-0.4964645042746687,0.5841611588272093,6606.163532077906,1.4395589058202054e-19,AIQ
8,0.9995418364949779,1.080871701008471,0.32655360140676926,7999.298708084589,1.219260794448943e-18,AIQ
9,0.999650412892818,-0.08971821115792711,0.9520106264098558,9531.724638919995,1.4132110910111742e-17,AIQ
10,0.999791882851161,-0.6595874393210188,0.5198770432906306,14411.958194155239,7.000482336680136e-17,AIQ
11,0.9997838866789952,-0.716132219446969,0.5213738198864311,12336.538775499743,5.367711761730696e-15,AIQ
1,0.999411804389234,-2.926796465790881,0.0007833948738423356,8495.573463118351,1.9146179406020648e-24,ARKF
2,0.9994060767807599,-2.8820534412786287,0.001542048520865747,7852.690169183773,8.188754501513567e-23,ARKF
3,0.9993976002254126,-2.8504499416015694,0.0024470200803847235,7189.117786898601,3.5636134505321574e-21,ARKF
4,0.9994412824241624,-3.1448469038780402,0.0022627394069407243,7155.252139157004,8.918778097966427e-20,ARKF
5,0.9996762174994369,-1.2733551892238069,0.16798777932493142,11320.807819414587,1.8067670011875053e-19,ARKF
6,0.9996959142122032,-0.7324817007975106,0.5115972184383235,10958.485558250695,7.037507164883042e-18,ARKF
7,0.9997596954540997,-0.18503255299219035,0.8649720909181313,12481.158336499777,1.337105822741592e-16,ARKF
8,0.99975540424143,0.03063176614580243,0.9798439916965207,10899.675558139992,8.807522811295565e-15,ARKF
9,0.9997525487554337,-2.980864212371685,0.33841800141526973,9427.133620542014,5.548735206013065e-13,ARKF
10,0.9997784580791482,-5.360494636281629,0.26531199510696124,9025.636811627619,2.37837170135509e-11,ARKF
1,0.9858948686974224,-0.03401042557933165,0.9792046543171241,698.9618512216596,7.742639228090906e-28,ARKG
2,0.9946374098812071,0.5190559547878202,0.5290728901245849,1792.9448424230027,5.2355076772334304e-33,ARKG
3,0.9947094263573577,0.49678569727167077,0.5558720623342857,1754.810588245627,5.81896877108189e-32,ARKG
4,0.9950586263901553,0.9836625219320998,0.2796436061554333,1812.3559043722871,3.128516159584719e-31,ARKG
5,0.9947059712884531,0.5828071905813808,0.5196747979771724,1628.3978713029985,1.0710110737044238e-29,ARKG
6,0.9946945584596476,0.5757890441916357,0.535543515544064,1562.3810492399612,1.4844016373755062e-28,ARKG
7,0.9949023120474251,0.39583799468469794,0.6826593436432105,1561.3388992080265,1.2379599761278093e-27,ARKG
8,0.9950689253582035,0.5314811991977442,0.5793636125368824,1547.0992258799274,1.159869292006933e-26,ARKG
9,0.9948691499737669,0.7707237415639098,0.44251613515333443,1421.9295170402456,2.5036977056843297e-25,ARKG
10,0.9978718013486001,1.6406051110320345,0.024343811791524225,3282.1666364864236,3.3249891347130737e-28,ARKG
11,0.9984359058536315,1.2748305848740005,0.04952351048534515,4255.651354371463,3.239946629208661e-28,ARKG
12,0.9986207677204638,0.8318940368195833,0.1966787221530272,4585.5932241450055,2.421953294998282e-27,ARKG
13,0.9986425678036507,0.7652111195463478,0.290552216563267,4414.110275958056,5.510950326775911e-26,ARKG
14,0.9986243001763203,0.9126728898743314,0.19406538339557614,4355.416565389495,6.215452390377893e-26,ARKG
15,0.9986255903274359,0.8454629512235591,0.2345610797180383,4359.510604132095,6.163191868457288e-26,ARKG
16,0.9988531230799554,0.416485387571758,0.5499288919818295,4935.287822544471,3.4775634256309764e-25,ARKG
17,0.998901561177378,0.5885544596318248,0.43772053314895454,4850.042517824944,7.072002487498572e-24,ARKG
18,0.9994032488982943,-0.3944622043720196,0.5285468998483136,8373.702587575759,2.1336164915145824e-24,ARKG
19,0.9995207130714956,-0.8371973477315038,0.22708143361171151,9732.02004254324,1.825141778375412e-23,ARKG
1,0.9666549650681358,2.026290022236063,0.3339536148148444,289.89472257064784,3.0881152834967417e-22,ARKK
2,0.9794662132793062,3.2712730525590192,0.06206784590233847,461.102159276414,1.4815232181817902e-24,ARKK
3,0.9792410884399131,3.0558311929197464,0.08310575271602856,440.2727698728911,1.1843981715140777e-23,ARKK
4,0.9798588929957364,3.901335739296244,0.05122568747258581,437.8473355558266,5.375392893365388e-23,ARKK
5,0.9795403511582558,3.436769689210079,0.07296970367268026,414.93134978530196,4.561979606570285e-22,ARKK
6,0.9796317582115706,3.4863841028132927,0.07880714273255117,400.80032777958695,2.9606453232632292e-21,ARKK
7,0.980430037412572,2.9714638306070014,0.14726662491783832,400.7897441939549,1.2600075665928428e-20,ARKK
8,0.9809227522525348,3.544298127785667,0.08291017751037799,394.20821424666184,6.586488451791063e-20,ARKK
9,0.9803743151539233,3.9379912651870663,0.06469460883693962,366.3266632909018,6.377550337627865e-19,ARKK
10,0.9839584334338115,4.861780927992678,0.021964495868269863,429.36635930272433,5.369971067539265e-19,ARKK
11,0.993631966465187,3.6584311312606217,0.010048837608638938,1040.228992758037,4.045857576038345e-22,ARKK
12,0.9966645861802973,2.3233018335458846,0.03113006795136289,1892.4815291348727,1.0645046653330141e-23,ARKK
13,0.999109051724509,1.0102227118454694,0.08587161039425803,6728.39768059907,1.246025318567088e-27,ARKK
14,0.9991391356441729,0.9611024930795444,0.08914105938399776,6963.7391457628255,9.146877498525504e-28,ARKK
15,0.9991111951455394,1.0423417482528012,0.07355257062810835,6744.638196773589,1.2193057558532438e-27,ARKK
16,0.9991465753934434,0.780858982560031,0.21161992459946816,6634.248122678892,2.82061025293917e-26,ARKK
17,0.999178481502123,0.9746235494802273,0.1539403076469931,6486.70956906713,6.92353168568769e-25,ARKK
18,0.9995547115423797,0.3203393750574701,0.5567489580813851,11223.676410615259,2.3741434505620546e-25,ARKK
19,0.9995783885932338,-0.06322968726062328,0.920371629273482,11063.977567748776,7.43917785956914e-24,ARKK
1,0.9996297986874813,-0.17902572846058007,0.8979855626299467,8100.69898363983,9.347264891935478e-16,ARKX
2,0.9997785655029761,-0.8443548857418044,0.4741998201889386,12040.021814605003,5.916205266964617e-15,ARKX
3,0.9998002550855002,-4.320877691983895,0.1648170506749637,11679.232323428623,2.622124864099823e-13,ARKX
4,0.9998072862939288,-4.426628928194148,0.18397778716778135,10376.089035663648,1.5655050903255974e-11,ARKX
1,0.9984049507037249,-0.17052244588210375,0.8237269459404395,3755.639225829494,2.353334557730452e-25,ARTY
2,0.9983993417786776,-0.16958518142997292,0.8411797103909111,3534.5435988234326,5.913329190551967e-24,ARTY
3,0.9993538098668029,0.8951114866494692,0.12832454957502085,8248.171416029078,1.0146245196563886e-25,ARTY
4,0.999469751584838,0.7642195015647184,0.25320319504873456,9424.54256350177,8.795797665122644e-25,ARTY
5,0.9994820922583042,0.8100720801853525,0.2525573542902955,9005.94717622777,3.139691609373183e-23,ARTY
6,0.9995009625152627,0.6168205766778554,0.38972274323372147,8679.049109599537,1.0483937945301581e-21,ARTY
