lag,correlation,p_value,ETF
-13.0,0.18113610602514363,0.6165114279214668,AIQ
-12.0,-0.6687207041834473,0.024464987752876224,AIQ
-11.0,-0.41028109804929624,0.18526695257811207,AIQ
-10.0,0.07665116743542116,0.8034479382692647,AIQ
-9.0,0.025100843936116557,0.9321225292788915,AIQ
-8.0,0.4945904442495207,0.060898895431503494,AIQ
-7.0,0.1577120916615927,0.5596605063635038,AIQ
-6.0,-0.3376448159794897,0.18502776502824161,AIQ
-5.0,,,AIQ
-4.0,,,AIQ
-3.0,,,AIQ
-2.0,,,AIQ
-1.0,,,AIQ
0.0,,,AIQ
1.0,,,AIQ
2.0,,,AIQ
3.0,,,AIQ
4.0,,,AIQ
5.0,,,AIQ
6.0,,,AIQ
7.0,,,AIQ
8.0,,,AIQ
9.0,,,AIQ
10.0,,,AIQ
11.0,,,AIQ
12.0,,,AIQ
13.0,,,AIQ
-11.0,0.5086077498836626,0.1333060880825859,ARKF
-10.0,-0.23542857188898222,0.4858728592027814,ARKF
-9.0,-0.33306535828530187,0.2901034813069113,ARKF
-8.0,-0.13205245962196982,0.6671669819989658,ARKF
-7.0,0.09540423473052012,0.7456130650121773,ARKF
-6.0,-0.05079751198390484,0.8573215704668785,ARKF
-5.0,,,ARKF
-4.0,,,ARKF
-3.0,,,ARKF
-2.0,,,ARKF
-1.0,,,ARKF
0.0,,,ARKF
1.0,,,ARKF
2.0,,,ARKF
3.0,,,ARKF
4.0,,,ARKF
5.0,,,ARKF
6.0,,,ARKF
7.0,,,ARKF
8.0,,,ARKF
9.0,,,ARKF
10.0,,,ARKF
11.0,,,ARKF
-20.0,,,ARKG
-19.0,,,ARKG
-18.0,,,ARKG
-17.0,,,ARKG
-16.0,,,ARKG
-15.0,,,ARKG
-14.0,,,ARKG
-13.0,,,ARKG
-12.0,,,ARKG
-11.0,,,ARKG
-10.0,,,ARKG
-9.0,,,ARKG
-8.0,,,ARKG
-7.0,,,ARKG
-6.0,,,ARKG
-5.0,,,ARKG
-4.0,,,ARKG
-3.0,,,ARKG
-2.0,,,ARKG
-1.0,,,ARKG
0.0,,,ARKG
1.0,,,ARKG
2.0,,,ARKG
3.0,,,ARKG
4.0,,,ARKG
5.0,,,ARKG
6.0,,,ARKG
7.0,,,ARKG
8.0,,,ARKG
9.0,,,ARKG
10.0,,,ARKG
11.0,,,ARKG
12.0,,,ARKG
13.0,,,ARKG
14.0,,,ARKG
15.0,,,ARKG
16.0,,,ARKG
17.0,,,ARKG
18.0,,,ARKG
19.0,,,ARKG
20.0,,,ARKG
-20.0,,,ARKK
-19.0,,,ARKK
-18.0,,,ARKK
-17.0,,,ARKK
-16.0,,,ARKK
-15.0,,,ARKK
