ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9992622617369693,0.9989460881956704,4.276197864022545e-21,21,-11.765521235949308,0.6553363966226496
ARKB,1.0,,,7,2.93232444740255,
ARKF,0.9994132476603615,0.9991198714905423,1.141432052469166e-18,19,7.7056272613054375,0.6038374555776358
ARKG,0.9900610068447157,0.9878523416990969,1.0155872151158203e-25,34,-36.86400978463233,0.21808718063956617
ARKK,0.9706321604495779,0.9641059738828174,2.202232834589677e-19,34,-94.75085638182402,0.08177892117064922
ARKQ,0.9999530362654926,0.9998121450619704,0.0001408845868488338,9,-10.84331478438233,0.6457109830298532
ARKW,0.9999472945125638,0.9997891780502552,0.00015810812884967413,9,-4.928870206533858,0.7958035898781238
ARKX,0.999723976850185,0.99944795370037,2.1021160690901475e-10,13,-4.0924856180704205,0.8874005305042417
ARTY,0.998676215856314,0.9981467021988397,1.0440618112075335e-20,22,0.3108795084702365,0.9906675201875441
BKGI,0.9999487362556072,0.9997949450224288,0.0001537833493986649,9,45.63294611540181,0.4099867783245791
BLOK,0.9986958887842174,0.9981742442979045,9.331946052073737e-21,22,-12.483358254088742,0.3719699988644316
BOTZ,0.9287268369013282,0.9073448879717266,1.952703965565981e-10,27,-56.205214553436264,0.7876450602514198
BUG,0.9987734640710072,0.9979557734516786,1.4139537650883281e-12,16,-47.79484031542586,0.383344871037839
CGW,0.9755346690995748,0.9706416029194898,8.742830566030119e-23,37,63.34210338762887,0.590314815921144
DSI,0.9752324200260123,0.9702789040312148,1.050478935344178e-22,37,30.861195905440923,0.812677721994298
DTCR,0.9990199454223279,0.9981798986414661,3.641319517331532e-10,14,77.08941974973027,0.34836221751658397
FPX,0.9769293645764433,0.972315237491732,3.63446486608493e-23,37,-0.7866546700497565,0.9921102004306537
GII,0.9732951938326398,0.9679542325991678,3.2386115446135074e-22,37,25.433951726723308,0.8778133450746539
GNR,0.976208885308906,0.9714506623706872,5.756641441158661e-23,37,-75.50043881887957,0.43582449486557673
GRID,0.9719871134242308,0.966384536109077,6.618998067763897e-22,37,-46.64712764985081,0.5986559041783803
GUNR,0.9770228095174153,0.9724273714208983,3.420414700043634e-23,37,-139.6501023732465,0.18065199497756523
IFRA,0.9981983308584318,0.9974776632018045,1.0526729186949512e-19,22,-140.26274322119087,0.012705746352305378
IGE,0.9757639825543194,0.9709167790651833,7.594436797098724e-23,37,-150.13551010583274,0.07243829835800542
IGF,0.9757134010643354,0.9708560812772025,7.834929581549133e-23,37,-23.477124867104862,0.8794561134793768
IZRL,0.9976600888022686,0.9967241243231761,7.469864313098429e-19,22,-115.32860321285733,0.018254154093981362
JUST,0.9991057936530395,0.9987481111142553,5.510741734059541e-22,22,-61.632808992382536,0.13344222180183413
KOMP,0.9880954771372337,0.982601081969803,9.695517698850948e-12,20,-51.33469575542773,0.5843859397141558
LIT,0.9589885639665571,0.9507862767598685,1.963638918427693e-19,37,-50.66988973907081,0.40749283460906105
MOO,0.9711625807212342,0.965395096865481,1.021128658486559e-21,37,62.246853180779624,0.6330580429029307
MSOS,0.9963230363677028,0.9935653136434799,2.725774805094933e-09,15,54.26892186831088,0.16013039253242353
NFRA,0.9755016916565353,0.9706020299878424,8.920714008009554e-23,37,157.35317825947698,0.35837978058723197
PAVE,0.9873406839090118,0.9831209118786823,4.488513048537778e-16,25,1.9133891494788529,0.9822080672578799
PBW,0.9749651072355795,0.9699581286826954,1.2333800379662507e-22,37,-39.04152163929298,0.302152484104103
PHO,0.9735459960249262,0.9682551952299114,2.8125357543482823e-22,37,60.506034555480824,0.5660605863818384
PRNT,0.999945288804397,0.9997811552175881,0.00016412460702794877,9,-6.3812698799569105,0.8662437065337063
PWRD,0.9999616759690013,0.9998467038760053,0.00011496768685832229,9,-25.695436642664845,0.43506146613656826
ROBO,0.9692503491733128,0.9631004190079753,2.6652363263372456e-21,37,-38.03470567870127,0.6594725127267955
ROBT,0.9987782108826813,0.9982894952357537,5.723313682164169e-21,22,-13.585390511465079,0.6142678089931515
SAMT,0.9999572927760735,0.9998291711042939,0.00012811620013644372,9,-35.34726178207916,0.49602062340704767
SIXG,0.993620878752515,0.9904313181287725,1.866212644338082e-12,19,47.83958517617228,0.6665348073480682
SUSA,0.9763554070254717,0.9716264884305661,5.2486422321601217e-23,37,39.242101598575914,0.7624464355018051
XT,0.9952377611541875,0.994138782959,6.74349607160107e-29,33,30.37782206446076,0.5562278171152606
