model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
cross_correlation,,0.0282726582379334,0.19944605155391265,,0,44,False,"{""best_lag"": 16, ""best_corr"": 0.03555106910729901}",N-ABCE,A+B+C+E,W,raw,SPY,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
relative_performance,0.12345461553032266,,,,14963,44,False,"{""r2_absolute_median"": 0.07388629525945078, ""r2_excess_median"": 0.0807292957827962, ""r2_combined_median"": 0.12345461553032266}",N-ABCE,A+B+C+E,W,raw,SPY,49.00142907494354
granger,,,0.21050971495104306,1.573200394008224,0,44,False,"{""pct_significant_lag1"": 0.25}",N-ABCE,A+B+C+E,W,raw,SPY,
seasonality,,,,,15491,44,False,"{""jan_mean"": 4.1359950290513293e-16, ""best_month"": 1, ""worst_month"": 4}",N-ABCE,A+B+C+E,W,raw,SPY,
drawdown,0.0011920701060907923,-0.08036174614801678,0.9140248403013447,,852,44,False,"{""1m"": {""beta_depth"": -0.08036174614801678, ""beta_depth_p"": 0.9140248403013447, ""r2"": 0.0011920701060907923}, ""2m"": {""beta_depth"": 0.5122304392751303, ""beta_depth_p"": 0.8452285374072231, ""r2"": 0.004421569331266695}, ""3m"": {""beta_depth"": 1.4262438799586563, ""beta_depth_p"": 0.7616596577671151, ""r2"": 0.005433095927656062}, ""6m"": {""beta_depth"": 5.406242553583048, ""beta_depth_p"": 0.4674413742859167, ""r2"": 0.010495462001010036}}",N-ABCE,A+B+C+E,W,raw,SPY,-203.0129243738421
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
cross_correlation,,0.22780324805092014,0.05605127136800702,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.22780324805092014}",N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
relative_performance,0.48422595023923654,,,,14954,44,False,"{""r2_absolute_median"": 0.3821926918320347, ""r2_excess_median"": 0.3579237365851, ""r2_combined_median"": 0.48422595023923654}",N-ABCE,A+B+C+E,W,pct_aum,SPY,3773.311749420139
granger,,,0.014547874966180586,6.28811738797179,0,1,False,"{""pct_significant_lag1"": 1.0}",N-ABCE,A+B+C+E,W,pct_aum,SPY,
seasonality,,,,,15444,44,False,"{""jan_mean"": NaN, ""best_month"": 3, ""worst_month"": 1}",N-ABCE,A+B+C+E,W,pct_aum,SPY,
drawdown,0.0018088858637368421,0.011889558670795733,0.8714250156883698,,852,44,False,"{""1m"": {""beta_depth"": 0.011889558670795733, ""beta_depth_p"": 0.8714250156883698, ""r2"": 0.0018088858637368421}, ""2m"": {""beta_depth"": -0.08672521223574224, ""beta_depth_p"": 0.529805974972902, ""r2"": 0.008338920720461496}, ""3m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}, ""6m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}}",N-ABCE,A+B+C+E,W,pct_aum,SPY,-107.05388596647158
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
cross_correlation,,0.0282726582379334,0.19944605155391265,,0,44,False,"{""best_lag"": 16, ""best_corr"": 0.03555106910729901}",N-ABCE,A+B+C+E,W,raw,QQQ,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
relative_performance,0.21218513119743282,,,,14839,42,False,"{""r2_absolute_median"": 0.07030442832841494, ""r2_excess_median"": 0.11657578862360202, ""r2_combined_median"": 0.21218513119743282}",N-ABCE,A+B+C+E,W,raw,QQQ,837.4978110356479
granger,,,0.21050971495104306,1.573200394008224,0,44,False,"{""pct_significant_lag1"": 0.25}",N-ABCE,A+B+C+E,W,raw,QQQ,
seasonality,,,,,15491,44,False,"{""jan_mean"": 4.1359950290513293e-16, ""best_month"": 1, ""worst_month"": 4}",N-ABCE,A+B+C+E,W,raw,QQQ,
drawdown,0.0011920701060907923,-0.08036174614801678,0.9140248403013447,,852,44,False,"{""1m"": {""beta_depth"": -0.08036174614801678, ""beta_depth_p"": 0.9140248403013447, ""r2"": 0.0011920701060907923}, ""2m"": {""beta_depth"": 0.5122304392751303, ""beta_depth_p"": 0.8452285374072231, ""r2"": 0.004421569331266695}, ""3m"": {""beta_depth"": 1.4262438799586563, ""beta_depth_p"": 0.7616596577671151, ""r2"": 0.005433095927656062}, ""6m"": {""beta_depth"": 5.406242553583048, ""beta_depth_p"": 0.4674413742859167, ""r2"": 0.010495462001010036}}",N-ABCE,A+B+C+E,W,raw,QQQ,-203.0129243738421
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
cross_correlation,,0.22780324805092014,0.05605127136800702,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.22780324805092014}",N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
relative_performance,,,,,14830,42,False,"{""r2_absolute_median"": NaN, ""r2_excess_median"": NaN, ""r2_combined_median"": NaN}",N-ABCE,A+B+C+E,W,pct_aum,QQQ,
granger,,,0.014547874966180586,6.28811738797179,0,1,False,"{""pct_significant_lag1"": 1.0}",N-ABCE,A+B+C+E,W,pct_aum,QQQ,
seasonality,,,,,15444,44,False,"{""jan_mean"": NaN, ""best_month"": 3, ""worst_month"": 1}",N-ABCE,A+B+C+E,W,pct_aum,QQQ,
drawdown,0.0018088858637368421,0.011889558670795733,0.8714250156883698,,852,44,False,"{""1m"": {""beta_depth"": 0.011889558670795733, ""beta_depth_p"": 0.8714250156883698, ""r2"": 0.0018088858637368421}, ""2m"": {""beta_depth"": -0.08672521223574224, ""beta_depth_p"": 0.529805974972902, ""r2"": 0.008338920720461496}, ""3m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}, ""6m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}}",N-ABCE,A+B+C+E,W,pct_aum,QQQ,-107.05388596647158
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
cross_correlation,,0.0282726582379334,0.19944605155391265,,0,44,False,"{""best_lag"": 16, ""best_corr"": 0.03555106910729901}",N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
relative_performance,0.1557196694542181,,,,14963,44,False,"{""r2_absolute_median"": 0.07388629525945078, ""r2_excess_median"": 0.10476326354383336, ""r2_combined_median"": 0.1557196694542181}",N-ABCE,A+B+C+E,W,raw,peer_avg,330.49543330685884
granger,,,0.21050971495104306,1.573200394008224,0,44,False,"{""pct_significant_lag1"": 0.25}",N-ABCE,A+B+C+E,W,raw,peer_avg,
seasonality,,,,,15491,44,False,"{""jan_mean"": 4.1359950290513293e-16, ""best_month"": 1, ""worst_month"": 4}",N-ABCE,A+B+C+E,W,raw,peer_avg,
drawdown,0.0011920701060907923,-0.08036174614801678,0.9140248403013447,,852,44,False,"{""1m"": {""beta_depth"": -0.08036174614801678, ""beta_depth_p"": 0.9140248403013447, ""r2"": 0.0011920701060907923}, ""2m"": {""beta_depth"": 0.5122304392751303, ""beta_depth_p"": 0.8452285374072231, ""r2"": 0.004421569331266695}, ""3m"": {""beta_depth"": 1.4262438799586563, ""beta_depth_p"": 0.7616596577671151, ""r2"": 0.005433095927656062}, ""6m"": {""beta_depth"": 5.406242553583048, ""beta_depth_p"": 0.4674413742859167, ""r2"": 0.010495462001010036}}",N-ABCE,A+B+C+E,W,raw,peer_avg,-203.0129243738421
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_gmm_ab,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_gmm_bb,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
panel_entity_fe_trend,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,raw,peer_avg,
univariate_r2_by_lag,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
multilag_ols,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
cross_correlation,,0.22780324805092014,0.05605127136800702,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.22780324805092014}",N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_pooled,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
asymmetry,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
relative_performance,0.4709574981717443,,,,14954,44,False,"{""r2_absolute_median"": 0.3821926918320347, ""r2_excess_median"": 0.2210127732028585, ""r2_combined_median"": 0.4709574981717443}",N-ABCE,A+B+C+E,W,pct_aum,peer_avg,3510.607389881511
granger,,,0.014547874966180586,6.28811738797179,0,1,False,"{""pct_significant_lag1"": 1.0}",N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
seasonality,,,,,15444,44,False,"{""jan_mean"": NaN, ""best_month"": 3, ""worst_month"": 1}",N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
drawdown,0.0018088858637368421,0.011889558670795733,0.8714250156883698,,852,44,False,"{""1m"": {""beta_depth"": 0.011889558670795733, ""beta_depth_p"": 0.8714250156883698, ""r2"": 0.0018088858637368421}, ""2m"": {""beta_depth"": -0.08672521223574224, ""beta_depth_p"": 0.529805974972902, ""r2"": 0.008338920720461496}, ""3m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}, ""6m"": {""beta_depth"": NaN, ""beta_depth_p"": NaN, ""r2"": NaN}}",N-ABCE,A+B+C+E,W,pct_aum,peer_avg,-107.05388596647158
panel_entity_fe_cum,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-ABCE,A+B+C+E,W,pct_aum,peer_avg,
