Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-0.5954112661931719,0.6180778725255673,-0.9633272645083119,0.33556889038463833,,,,,,,
Return_lag2,3.8476675911062634,0.736516832084165,5.224140743964116,2.0468035510923244e-07,,,,,,,
Return_lag3,0.20857711524686873,0.4239477961049993,0.4919877333085849,0.6228140584083097,,,,,,,
CumRet_20,1.5215444348044533,0.2916288757269364,5.21739978941295,2.121041295932713e-07,,,,,,,
CumRet_60,0.45517209003509596,0.7694837056382344,0.5915292119896959,0.5542724192935831,,,,,,,
CumRet_120,-3.5220420902467797,0.5186299974344036,-6.791049703391382,1.7137846697323766e-11,,,,,,,
month_end,1.9500382324710874,0.33758577176981985,5.776423047238808,9.612348472742838e-09,,,,,,,
quarter_end,0.6204419451550395,0.05165041975043922,12.0123311321156,0.0,,,,,,,
january,0.8614567764133004,0.11253450689058483,7.655045551946822,3.8413716652030416e-14,,,,,,,
Peer_Agg_Flow,-38.70247982979389,0.28819060004608144,-134.29473349791905,0.0,,,,,,,
_SUMMARY_,,,,,0.983230848670341,0.9080364256371247,0.9779637014632513,8176.089341562651,1.1102230246251565e-16,1295.0,31.0
