ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,,,,,,,20
ARKB,,,,,,,8
ARKF,,,,,,,17
ARKG,,,,,,,31
ARKK,,,,,,,31
ARKQ,,,,,,,9
ARKW,,,,,,,9
ARKX,,,,,,,12
ARTY,,,,,,,20
BKGI,,,,,,,9
BLOK,,,,,,,21
BOTZ,,,,,,,25
BUG,,,,,,,15
CGW,,,,,,,33
DSI,,,,,,,33
DTCR,,,,,,,13
FPX,,,,,,,33
GII,,,,,,,33
GNR,,,,,,,33
GRID,,,,,,,33
GUNR,,,,,,,33
IFRA,,,,,,,20
IGE,,,,,,,33
IGF,,,,,,,33
IZRL,,,,,,,21
JUST,,,,,,,20
KOMP,,,,,,,18
LIT,,,,,,,33
MOO,,,,,,,33
MSOS,,,,,,,14
NFRA,,,,,,,33
PAVE,,,,,,,24
PBW,,,,,,,33
PHO,,,,,,,33
PRNT,,,,,,,9
PWRD,,,,,,,9
ROBO,,,,,,,33
ROBT,,,,,,,20
SAMT,,,,,,,9
SIXG,,,,,,,17
SUSA,,,,,,,33
XT,,,,,,,30
