ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,11.3472138311785,-7.272596201906154,1.5602700213445626,0.9340378718863344,0.9996462512763897,19
ARKB,0.010430984993508474,0.653035769508179,0.015973068368619937,0.6716431441058441,0.9999998467818656,7
ARKF,41.750154549539445,-103.52694660021882,0.4032781408183751,0.1531408960220149,0.9993780272716197,16
ARKG,-4.961956024945394,23.058356727804135,-0.21519122474856103,0.5912735306118102,0.9973249663440902,28
ARKK,85.40126449489448,68.44835511347226,1.2476744598656613,0.16287835352686708,0.9893125624855671,28
ARKX,-5.465822175089818,-70.38611206055715,-0.07765483864753409,0.38649737385531524,0.9998658173477148,11
ARTY,-17.98851662491966,59.03528101217336,-0.3047079020630112,0.17407768674509724,0.9997262019091232,19
BLOK,-6.4127644774117805,-54.72613625518032,-0.11717919290903264,0.06099853908857795,0.9990819347761971,20
BOTZ,68.12494901316661,-59.67800895176541,1.141541921551512,0.6618190429311455,0.9998041184210138,22
BUG,-44.424213108564096,-3.7490302725089273,-11.84952104396706,0.7826033519858482,0.9983998381710075,14
CGW,-35.50523130317866,31.457833428342553,-1.128661049848065,0.9687539029833108,0.9973243467112413,30
DSI,-64.51241601002202,129.69096798733625,-0.4974318336209918,0.5323809487142128,0.9980916976306976,30
DTCR,76.7258740746626,-84.69271677423747,0.9059323752618326,0.8951620282033593,0.9999366543890356,12
FPX,-66.06687026452066,-117.25892111806448,-0.5634272397747879,0.03222342514045167,0.9986879316272917,30
GII,111.0488294537194,-204.8362970443469,0.5421345291634393,0.22646525641362686,0.9979306248492786,30
GNR,-61.29369112678628,8.690010160259778,-7.0533509163301105,0.08380686911269987,0.998797681614626,30
GRID,-54.9306669418963,112.54274570002568,-0.4880871405813211,0.48352964573364887,0.9975301545048205,30
GUNR,-69.93629950826343,40.12203284637861,-1.743089632971472,0.31420777342929146,0.9987885116407007,30
IFRA,11.286857533997122,-134.66747641625577,0.0838127945541176,0.11277310849799861,0.9993628649047493,19
IGE,-35.735665319910694,-36.1658192647255,-0.9881060638591876,0.0382454656246485,0.997500095888698,30
IGF,97.50412496345263,-239.37327185927722,0.40733087786331196,0.09354758099587658,0.9974088622121972,30
IZRL,-3.200208089495425,-190.0227085719793,-0.016841187632493974,0.043310008840629334,0.998415932660931,20
JUST,25.684460970798312,-16.664908118038113,1.5412302779513933,0.9004632003749073,0.9996121151502451,19
KOMP,17.713856006584038,-5.569723911124015,3.1803831373410465,0.786472549335947,0.9995649732904343,17
LIT,11.460113927486447,18.464111093348215,0.62066968020004,0.7420561486004846,0.9869414091615635,30
MOO,-88.05194473115267,102.84253694017818,-0.8561821533279663,0.7822553272545376,0.9980838002743206,30
MSOS,-2.0764176278011206,9.014004603248301,-0.23035462252291944,0.6313859157378415,0.999777184787359,13
NFRA,-76.20146916919362,34.68966401723179,-2.196662070043146,0.7437113498178429,0.9971396281602819,30
PAVE,-10.422468766028686,-64.54318467421827,-0.16148054699556735,0.02218415248409602,0.999466891997301,22
PBW,3.6573769974403447,21.679015805080688,0.1687058596351594,0.24225982089919804,0.9968579976823929,30
PHO,-56.265790000615986,12.716698950968464,-4.424559409447289,0.3923744133815711,0.9984182659308228,30
ROBO,83.75250387747394,-144.060322182972,0.581371071564725,0.4932555346270494,0.9949422457021291,30
ROBT,2.56835922014933,25.04868901985384,0.10253467629038882,0.5090921954413408,0.9995738874188791,19
SIXG,-11.386197162284972,-8.26121804042765,-1.3782709894067333,0.8249137323173119,0.9996545499642379,16
SUSA,-60.57488505697489,65.00003508701272,-0.9319208055178113,0.9696673095093938,0.9976862754987859,30
XT,-50.93806465056999,-111.91069189780885,-0.45516709607232203,0.20577376161372765,0.9976528580041084,27
