ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9985682492866078,0.9984175386851981,9.566220293566799e-28,22,-26.067495893196707,0.38937203129785847
ARKB,0.9999998435137581,0.9999997652706372,2.4487943885690555e-14,7,0.19531434035890793,0.6528514567786612
ARKF,0.998722283096065,0.9985625684830731,7.103577511440129e-24,19,-5.320789453167606,0.7666388164440482
ARKG,0.9858945438732898,0.9849845144457601,2.067762162726227e-29,34,-24.137832170551704,0.4573487912279619
ARKK,0.9655831182857362,0.9633626743041708,2.0890967239170888e-23,34,-92.70211624718793,0.0868810352609478
ARKQ,0.9997110827825008,0.9996147770433343,2.411683270919272e-11,9,-4.730545271465303,0.8375552948608539
ARKW,0.9997451032853435,0.9996601377137914,1.6561234771421505e-11,9,12.973176285280402,0.38398070378112165
ARKX,0.9996290833529519,0.9995549000235422,7.020719570823558e-18,13,0.3278531466904582,0.9876819856554255
ARTY,0.9984004235736889,0.9982320471077614,2.7418737488021563e-27,22,0.33968608047663906,0.9894094557870952
BKGI,0.9997496059072154,0.9996661412096205,1.5699008940156508e-11,9,40.43859902674069,0.35523358971604874
BLOK,0.9984515827994397,0.9982885915151701,2.013426946896063e-27,22,-12.527330418394016,0.3273338809412796
BOTZ,0.8880865136428827,0.8787603897797897,3.860015978391174e-12,27,35.1181407671138,0.88063015328181
BUG,0.9975521161864843,0.9971755186767127,1.0644866122651429e-17,16,-108.15789902034429,0.04582921755763657
CGW,0.9705557293419882,0.9688237134209287,9.39752782949926e-27,37,7.823549513659145,0.9454891104587178
DSI,0.9699127813661002,0.9681429449758707,1.3567340124147014e-26,37,11.248944878204043,0.9319481941329746
DTCR,0.9978646575013242,0.997476413410656,2.0514998536839772e-15,14,63.94607414038376,0.43356589350214714
FPX,0.9709603385208059,0.9692521231396768,7.427733955095121e-27,37,-22.60210245836089,0.7853741117269679
GII,0.9697238112043809,0.9679428589222856,1.5091085531139422e-26,37,-31.111620304233327,0.8326079958689905
GNR,0.972228867336282,0.9705952712972398,3.476090562660985e-27,37,-62.746856560479486,0.5005640635098694
GRID,0.9671510123277511,0.9652187189352659,6.037732016255294e-26,37,-28.407068747297203,0.7483653140619937
GUNR,0.9731580658512657,0.971579128548399,1.949102649100689e-27,37,-137.2462081040776,0.16661194593060635
IFRA,0.9974356906508483,0.9971657633509375,2.4278337792121214e-25,22,-94.30414896334227,0.06604524021587439
IGE,0.9704762061435522,0.9687395123872906,9.838452497081127e-27,37,-146.63145497967025,0.06743891125616504
IGF,0.9700164220332813,0.9682526821528861,1.2794365639507467e-26,37,-38.00032117673544,0.7919720554215732
IZRL,0.9970434489595439,0.9967322330605485,9.385580047674534e-25,22,-105.52429453083874,0.021809210966498998
JUST,0.9977302659929715,0.9974913466238107,7.616617816260358e-26,22,-75.1367888987655,0.17456138047259803
KOMP,0.9851887469147975,0.9834462465518325,2.8185797346404456e-16,20,-69.28771493444648,0.4361717557998198
LIT,0.955041601334504,0.9523969896482983,1.2525185866847323e-23,37,-31.54865907301273,0.5911589508423414
MOO,0.9664907239905491,0.9645195901076402,8.468485730742314e-26,37,52.44280026462232,0.6818674384806702
MSOS,0.9881208647864312,0.9861410089175031,2.8100170443196672e-12,15,60.960284304327324,0.20232287569786778
NFRA,0.9705401051113134,0.9688071701178612,9.482662210690581e-27,37,68.53324032772537,0.6639933931533963
PAVE,0.983906224373361,0.9824431538618483,1.8760195717852678e-20,25,-7.93421549336561,0.9261689010535972
PBW,0.9689727734889049,0.9671476425176639,2.288918112545973e-26,37,-31.43809935603123,0.40970543774847235
PHO,0.968632161648738,0.9667869946868991,2.7557388000473663e-26,37,52.55366861054938,0.6133538764361348
PRNT,0.9997791827730932,0.9997055770307909,1.0767102680147722e-11,9,41.36183684552327,0.21637355288447477
PWRD,0.9997149782964734,0.9996199710619645,2.3154414009608227e-11,9,14.618297716104507,0.6428047285540021
ROBO,0.9685522559090731,0.9667023886096069,2.877540495280785e-26,37,-41.791866682055385,0.605708662607497
ROBT,0.9977502683531518,0.9975134544955889,7.002317791741959e-26,22,-5.474012780753469,0.8623116662542784
SAMT,0.9997140600308383,0.9996187467077844,2.3378928244409724e-11,9,-18.606871295023325,0.7423166041932168
SIXG,0.9925291194532816,0.9915952593849418,9.70452626118167e-18,19,69.55361944702128,0.44756626171871283
SUSA,0.9711315678177442,0.9694334247481998,6.717294245882728e-27,37,9.286899493677936,0.9435618851179928
XT,0.9945774065275322,0.9942159002960343,1.0306369395136665e-34,33,30.883108670079537,0.5442238623001516
