model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.04336869040130609,60.329668201207426,0.06584483091804508,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.04336869040130609}",N-ADE,A+D+E,W,raw,SPY,343.18124127724445
multilag_ols,0.12358822728574087,59.711720544599004,0.06845186582830012,0.004093431664815124,14963,44,False,{},N-ADE,A+D+E,W,raw,SPY,512.1832188330283
multilag_ols_month_fe,0.15396798599472855,67.34087003220533,0.07130548084886273,0.011425168240675833,14963,44,False,{},N-ADE,A+D+E,W,raw,SPY,521.4530336680334
cross_correlation,,0.08800726300747982,0.06637470606129538,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.08800726300747982}",N-ADE,A+D+E,W,raw,SPY,
panel_pooled,0.031108892762149565,105.33551751853166,0.00040008306508032554,30.075930142319027,14963,44,True,"{""r2_overall"": 0.031192596067999734, ""r2_between"": 0.03559709635637198}",N-ADE,A+D+E,W,raw,SPY,165.85457431623985
panel_entity_fe,0.031109290011268276,105.14864017281774,0.000489001929201649,29.906736658882455,14963,44,True,"{""r2_overall"": 0.03119219776764126, ""r2_between"": 0.035627079310711185}",N-ADE,A+D+E,W,raw,SPY,165.8568932046256
panel_entity_time_fe,-77.87650559180834,-19.93887565196267,0.09863096158611317,28186.417827193098,14963,44,False,"{""r2_overall"": -77.38639593970753, ""r2_between"": -22.290786493092785}",N-ADE,A+D+E,W,raw,SPY,-778894.5788261688
panel_entity_fe_excess,0.03500815949855729,24.49590450519582,0.2911335797892116,19.24817228211392,14928,44,False,"{""r2_overall"": 0.03519028311672523, ""r2_between"": 0.05347592602052986}",N-ADE,A+D+E,W,raw,SPY,158.9303136192177
panel_entity_fe_controls,0.0319569240048897,103.47784305649975,0.0006794640304794708,28.93782757557367,14963,44,True,"{""r2_overall"": 0.03223040918703535, ""r2_between"": -0.006803873605708999}",N-ADE,A+D+E,W,raw,SPY,163.47294915847633
asymmetry,0.1662932847926426,33.32061163249751,,,14963,44,False,"{""beta_pos_median"": 33.32061163249751, ""beta_neg_median"": 33.05290694372268, ""asymmetry_ratio_median"": 1.1132296947936484, ""wald_p_median"": 0.014893844015556441}",N-ADE,A+D+E,W,raw,SPY,572.0245299871257
relative_performance,0.1408753580101793,,,,14963,44,False,"{""r2_absolute_median"": 0.0835406270940009, ""r2_excess_median"": 0.1013004437639548, ""r2_combined_median"": 0.1408753580101793}",N-ADE,A+D+E,W,raw,SPY,223.20885387350998
granger,,,0.09129948629257434,2.8743365322453562,0,44,False,"{""pct_significant_lag1"": 0.4090909090909091}",N-ADE,A+D+E,W,raw,SPY,
seasonality,,,,,15491,44,False,"{""jan_mean"": 10.933463582089553, ""best_month"": 2, ""worst_month"": 5}",N-ADE,A+D+E,W,raw,SPY,
drawdown,0.009824193728931507,0.0005914893772575591,0.9993995627760734,,852,44,False,"{""1m"": {""beta_depth"": 0.0005914893772575591, ""beta_depth_p"": 0.9993995627760734, ""r2"": 0.009824193728931507}, ""2m"": {""beta_depth"": 0.8038563400849865, ""beta_depth_p"": 0.7769890859555494, ""r2"": 0.00973213618788793}, ""3m"": {""beta_depth"": 2.0183810480275213, ""beta_depth_p"": 0.6938254185702881, ""r2"": 0.01028126559614917}, ""6m"": {""beta_depth"": 6.2648279066389865, ""beta_depth_p"": 0.44756984551772516, ""r2"": 0.01312354407677041}}",N-ADE,A+D+E,W,raw,SPY,-116.69168814543495
panel_entity_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-ADE,A+D+E,W,raw,SPY,
panel_entity_fe_cum_long,0.03588704626008499,75.07135900645136,0.045225905912772424,25.052947200065855,12851,44,True,"{""r2_overall"": 0.03530301857905782, ""r2_between"": -0.2912363048790674, ""CumRet_20_coef"": 29.826507907696676, ""CumRet_20_pval"": 0.03914667558392315, ""CumRet_60_coef"": 1.293858399092554, ""CumRet_60_pval"": 0.8546831542309161, ""CumRet_120_coef"": 12.049104571251254, ""CumRet_120_pval"": 0.08284154133011179}",N-ADE,A+D+E,W,raw,SPY,127.0793933142822
panel_entity_time_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-ADE,A+D+E,W,raw,SPY,
panel_gmm_ab,,163.55675861106928,0.00029789287891242213,,44,44,True,"{""sargan_stat"": 43.84737131295606, ""sargan_p"": 1.0, ""ar1_stat"": -1.7473003343671867, ""ar1_p"": 0.08058525513010086, ""ar2_stat"": -0.9840873887981394, ""ar2_p"": 0.3250725470884405, ""transformation"": ""d""}",N-ADE,A+D+E,W,raw,SPY,
panel_gmm_bb,,101.09689939318696,1.3602573619392435e-07,,44,44,True,"{""sargan_stat"": 43.98281605466384, ""sargan_p"": 1.0, ""ar1_stat"": -0.8404953583144716, ""ar1_p"": 0.40063070303322945, ""ar2_stat"": 0.20672886450172429, ""ar2_p"": 0.8362216136980921, ""transformation"": ""ld""}",N-ADE,A+D+E,W,raw,SPY,
panel_entity_fe_trend,0.031096207529517028,104.73088745472677,0.000505103620881828,29.735291057780877,14928,44,True,"{""r2_overall"": 0.050884067384689535}",N-ADE,A+D+E,W,raw,SPY,167.85225192307297
univariate_r2_by_lag,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-ADE,A+D+E,W,pct_aum,SPY,
multilag_ols,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-ADE,A+D+E,W,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-ADE,A+D+E,W,pct_aum,SPY,
cross_correlation,,0.09632956341098681,0.0734246309793936,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.09632956341098681}",N-ADE,A+D+E,W,pct_aum,SPY,
panel_pooled,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-ADE,A+D+E,W,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-ADE,A+D+E,W,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-ADE,A+D+E,W,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-ADE,A+D+E,W,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-ADE,A+D+E,W,pct_aum,SPY,
asymmetry,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-ADE,A+D+E,W,pct_aum,SPY,
relative_performance,0.1361788715067589,,,,14954,44,False,"{""r2_absolute_median"": 0.08018349527962754, ""r2_excess_median"": 0.07705687136114481, ""r2_combined_median"": 0.1361788715067589}",N-ADE,A+D+E,W,pct_aum,SPY,292.8409620953626
granger,,,0.1606948991789368,1.9890317569499674,0,42,False,"{""pct_significant_lag1"": 0.35714285714285715}",N-ADE,A+D+E,W,pct_aum,SPY,
seasonality,,,,,15446,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-ADE,A+D+E,W,pct_aum,SPY,
