ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,,,,30,-inf,
ARKB,,,,8,inf,
ARKF,,,,28,-inf,
ARKG,,,,45,,
ARKK,,,,45,-inf,
ARKQ,,,,13,inf,
ARKW,,,,13,-inf,
ARKX,,,,20,-inf,
ARTY,,,,31,-inf,
BKGI,,,,13,-inf,
BLOK,,,,32,,
BOTZ,,,,38,,
BUG,,,,25,-inf,
CGW,,,,48,,
DSI,,,,48,,
DTCR,,,,21,-inf,
FPX,,,,48,,
GII,,,,48,,
GNR,,,,48,,
GRID,,,,48,,
GUNR,,,,48,,
IFRA,,,,31,-inf,
IGE,,,,48,,
IGF,,,,48,,
IZRL,,,,33,inf,
JUST,,,,31,-inf,
KOMP,,,,29,-inf,
LIT,,,,48,,
MOO,,,,48,,
MSOS,,,,22,inf,
NFRA,,,,48,,
PAVE,,,,36,,
PBW,,,,48,,
PHO,,,,48,,
PRNT,,,,13,-inf,
PWRD,,,,16,-inf,
ROBO,,,,48,,
ROBT,,,,32,,
SAMT,,,,16,-inf,
SIXG,,,,28,-inf,
SUSA,,,,48,,
XT,,,,44,,
