ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9984964034006396,0.9983159718087163,2.1254004764723786e-35,29,-18.218867155207782,0.30269547797403396
ARKB,0.9999998777601014,0.9999997555202027,7.255516118730488e-11,7,0.08673776656572052,0.85219048297999
ARKF,0.9988259352377963,0.9986727963557697,7.903004263188357e-34,27,-18.89841473038028,0.05613365942944428
ARKG,0.985847771829496,0.9847304906581404,3.6558496400793257e-35,42,-16.430653411208294,0.4758526236904632
ARKK,0.9646978044702231,0.9619107890336618,1.2620630084682278e-27,42,-51.306576884579925,0.16056434545110626
ARKQ,0.999831958239823,0.9997689425797566,1.9621864763348196e-15,12,-7.782024224592192,0.5816119451926604
ARKW,0.9998264709107043,0.9997613975022184,2.231308331839818e-15,12,2.820963517028453,0.7758754727915222
ARKX,0.9995882122547559,0.9995058547057071,1.3205450691340065e-25,19,-5.445758119050936,0.7499103444920687
ARTY,0.9983704779401963,0.9981824561640651,2.3883425930965022e-36,30,-3.598727264728751,0.8201447556650091
BKGI,0.9998706131805265,0.9998220931232239,6.896651099425062e-16,12,51.52066221559721,0.07927856126815691
BLOK,0.9984004245241311,0.9982158581230693,1.8766404763522686e-36,30,-7.071778063804871,0.45623530749595254
BOTZ,0.8856413127805646,0.8745743430496515,1.0874222275893375e-14,35,26.830255297836814,0.8535231239946113
BUG,0.9949967144965227,0.9942462216710011,3.628948849718466e-23,24,-44.639518191958565,0.2854788486254598
CGW,0.9709408991798933,0.9688146235101295,1.6118790046123094e-31,45,4.480395334053554,0.953207676909317
DSI,0.9703731107084433,0.9682052895407685,2.3960235991834286e-31,45,2.985499946198132,0.9707045823137307
DTCR,0.9975927850973754,0.9971414323031332,3.760116523893209e-21,20,10.733822148520062,0.8633188071947453
FPX,0.9714246369416853,0.9693337567179062,1.142830769563727e-31,45,-12.6647427971035,0.8189524175417137
GII,0.9698418495580772,0.9676351556233024,3.4483406547075063e-31,45,-18.20293004262487,0.8355491216530843
GNR,0.9723781014734543,0.9703569869471217,5.702312751168925e-32,45,-30.092039089975554,0.6127819042798741
GRID,0.9676789175980876,0.9653139603491672,1.424993971831512e-30,45,-24.042410508002092,0.6964725066571278
GUNR,0.9725226837956772,0.9705121484636535,5.121036737880494e-32,45,-64.31328592917549,0.286559950912018
IFRA,0.9956058153098369,0.9950987939994335,9.50982249547996e-31,30,11.603218993023468,0.7643689987863713
IGE,0.9696639272307421,0.9674442145890891,3.8899376286439106e-31,45,-72.79110940100337,0.1385314899288583
IGF,0.9703907148567493,0.968224181797487,2.3670265552243553e-31,45,-27.31216309359661,0.7515757840684646
IZRL,0.9954715841089536,0.9949490745830637,1.4061421300844427e-30,30,-12.526955951021819,0.6660419962176776
JUST,0.9975733677431237,0.9972933717134841,4.228671817321841e-34,30,-7.165562280433804,0.8137029629421882
KOMP,0.9858546739675538,0.984086508213498,2.5689362487417663e-22,28,-70.47766706140538,0.22358179621185165
LIT,0.9552188801449314,0.9519422128384629,1.1327138442401708e-27,45,-24.146847645537413,0.6032043019963034
MOO,0.96694101045844,0.9645220600041796,2.262719588199484e-30,45,26.70440074060241,0.7414995549771699
MSOS,0.9863860042165132,0.9839835343723685,4.697009061111499e-16,21,33.627041633679795,0.42733882776030396
NFRA,0.9709652795887864,0.9688407878513805,1.5844002464338585e-31,45,27.303294704172117,0.785195005400414
PAVE,0.984468515750251,0.9828618104830356,2.591366523915278e-26,33,10.924898021296439,0.8348704310778945
PBW,0.9697530915176836,0.9675399030921483,3.662310510632637e-31,45,-20.364354222124582,0.49809959211277366
PHO,0.969041014723438,0.9667757231178359,5.898894962906071e-31,45,30.934329048889822,0.67975915200133
PRNT,0.9998432616694032,0.9997844847954294,1.485163343412479e-15,12,19.752154376668898,0.3752458805436263
PWRD,0.9997366448819337,0.9996648207588247,5.800953728334802e-20,15,8.899433171297545,0.6394201364261485
ROBO,0.9687893413973602,0.9665056346703378,6.963047852770513e-31,45,-17.713830454364057,0.7497349052719012
ROBT,0.9978077361517658,0.9975547826308157,1.1292925578653515e-34,30,1.8716410787784241,0.9215971919265206
SAMT,0.999159957002325,0.9989308543665955,3.4203616854722104e-17,15,-88.23492006492222,0.10727371940372335
SIXG,0.9921446578226408,0.99112004797342,2.4512747567652394e-24,27,20.778932681946998,0.6965085798396521
SUSA,0.9717639707157355,0.9696979197924966,8.947411438966135e-32,45,1.1952442521718751,0.988103366566153
XT,0.9944540627192067,0.994004392128872,9.058991024531006e-42,41,20.773123418340987,0.5266719366223007
