ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9988191897347805,0.9984971505715388,4.843231719832753e-31,29,-17.63789933123415,0.30107304245635014
ARKB,1.0,,,7,2.93232444740255,
ARKF,0.9989162758310661,0.9985911585803859,1.4718900520943816e-28,27,-18.626502441886185,0.07406191538852437
ARKG,0.9887370430038462,0.9868062503759342,1.415110062522286e-32,42,-17.336933441841186,0.4232052749995211
ARKK,0.9669209493099422,0.9612502549059323,2.0928712131917454e-24,42,-51.13589412150469,0.17390108443757618
ARKQ,0.9998838782283501,0.9997445321023702,1.1440964770465517e-09,12,-5.976566053841481,0.7255356947896031
ARKW,0.9998889947441367,0.9997557884371008,1.0222109892281594e-09,12,6.553608492424104,0.5678444627494723
ARKX,0.9996663736936837,0.9994995605405256,3.858969391516715e-20,19,-4.6779044605289215,0.7961850142404737
ARTY,0.9985692663621791,0.9981960315001389,1.6368006800750429e-31,30,-6.876720346116963,0.6692253293442137
BKGI,0.9999299091947209,0.999845800228386,3.238617809858535e-10,12,66.9913304023155,0.08672553511153283
BLOK,0.9985081022966567,0.9981189115914366,2.6486209872004336e-31,30,-7.7561200974119515,0.43161341530956265
BOTZ,0.9141421133133,0.8957439947375786,1.2010685365137213e-13,35,43.320109946692256,0.744373782010656
BUG,0.9955916231842353,0.9940357254845537,4.686182904382165e-19,24,-52.31600511034297,0.24335781993807634
CGW,0.973811593580089,0.969676582040103,1.7555346482063163e-28,45,-17.010630463954783,0.8260932199284128
DSI,0.9736871473921882,0.9695324864541126,1.9205360097116663e-28,45,-26.25708262935124,0.7488084358016397
DTCR,0.9979368105179927,0.9969845692186047,1.1127560264502733e-16,20,53.89477509244762,0.4879710024532117
FPX,0.9749197373765862,0.9709596959097314,7.737197987065188e-29,45,-8.121526469231028,0.8815601140857319
GII,0.9723013594808316,0.9679278899251734,5.078890217019298e-28,45,-35.037153980140104,0.6982418351451429
GNR,0.9750756355002105,0.9711402095265596,6.874858111073668e-29,45,-50.69743087300679,0.4007751690167872
GRID,0.9708793096561181,0.9662813059176104,1.3112454078238002e-27,45,-53.2368890593896,0.4016941279703532
GUNR,0.9755757074074283,0.9717192401559696,4.6821611756827406e-29,45,-85.1228844573826,0.1640025810534983
IFRA,0.9959909334944442,0.9949450900582123,2.2803512474209726e-26,30,-3.8387381424814606,0.9259741412947747
IGE,0.9726285116421898,0.9683066976909566,4.055134273721614e-28,45,-78.86420916674669,0.11171765937800646
IGF,0.9743947009950578,0.970351759046909,1.1457700786891706e-28,45,-59.05713476852084,0.49476393371926763
IZRL,0.9956153327112248,0.9944715064619791,6.382258065377562e-26,30,-14.0398671171898,0.6526403655045371
JUST,0.9980773631030283,0.9975758056516444,4.89209278629583e-30,30,-17.252573747489947,0.5602765235178216
KOMP,0.9868657930898307,0.983113162544068,1.2283995294602216e-18,28,-74.69257190749568,0.2248672145837105
LIT,0.957829083805022,0.9511705180900254,1.4519608843341547e-24,45,-33.60929074050595,0.4814341981978938
MOO,0.9687447700800046,0.9638097337768474,5.006916872027147e-27,45,12.668844050527508,0.8782309455917968
MSOS,0.9891910868797137,0.9845586955424481,6.0886817958375e-13,21,54.11638890331089,0.23624870149998495
NFRA,0.9735117869313944,0.9693294374995093,2.178130399989145e-28,45,7.326435356193599,0.9435974869106856
PAVE,0.9856976616549713,0.9823971220368878,1.0711949876410587e-22,33,4.877658504866099,0.9288013662395131
PBW,0.9725489675883442,0.9682145940496617,4.284330519851156e-28,45,-25.179269193074198,0.4058965412174679
PHO,0.9715385102690287,0.9670445908378227,8.497799062705013e-28,45,2.6372790470142604,0.9728245815735872
PRNT,0.9998876956708488,0.9997529304758673,1.052378892373251e-09,12,11.675192990908158,0.642343628280743
PWRD,0.9997575090513062,0.9995756408397859,5.184476065220795e-14,15,11.23599504969593,0.610378763471633
ROBO,0.9689759372594817,0.9640774010372947,4.350211762717997e-27,45,-20.85896275381679,0.7227451010431332
ROBT,0.9982398467565692,0.9977806763452394,1.7727056718593835e-30,30,0.1252953104434411,0.9945803699819571
SAMT,0.999382911643049,0.9989200953753359,2.1729601911145722e-12,15,-83.22401176357587,0.1447760309673536
SIXG,0.9926363318240198,0.9904272313712257,3.052474916720649e-20,27,7.2771311490620185,0.9084731770311155
SUSA,0.9747472143732175,0.9707599324321466,8.810588229046923e-29,45,-25.395318855021415,0.7540556619350636
XT,0.9948811305247857,0.9939778006173949,1.9263966900326077e-37,41,15.090727220233902,0.6540756929956879
