ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9987325786308956,0.9984685325123321,6.219909733486824e-34,30,-22.082792048020607,0.180929456631292
ARKB,0.9999999133391797,0.9999994800350782,0.0004997585516873871,7,0.34482841167748884,0.7140681378340294
ARKF,0.998741948472489,0.9984424123945101,1.0647794384740151e-29,27,-15.730088462931676,0.1398377493578278
ARKG,0.9886035052547157,0.9870206587623152,6.572491696005913e-34,42,-17.733733996564773,0.4086255445423128
ARKK,0.9667743177628025,0.9621596396743028,1.4743957920599685e-25,42,-52.50381970249429,0.1560945975556839
ARKQ,0.999749952273852,0.9995415791687287,1.025689395490113e-10,12,-0.503695993091434,0.9819319743679176
ARKW,0.9998057539541562,0.9996438822492864,4.808736337193558e-11,12,15.303010787648759,0.24035307187022795
ARKX,0.9996645037811935,0.9995354667739603,4.23186361029797e-22,19,-2.170881705411979,0.881666381061138
ARTY,0.9984642174740904,0.9981442627811926,6.230556809508154e-33,30,-3.345596877284791,0.8349121018420735
BKGI,0.9997967866303665,0.999627442155672,5.5058814311940474e-11,12,58.09802939729309,0.27834049435959723
BLOK,0.9984585664778791,0.998137434494104,6.5112502747722e-33,30,-10.113629428665874,0.28559686032960346
BOTZ,0.9090858210432304,0.8934109626024082,3.26895674280985e-14,35,3.9403003534400227,0.9759066513784866
BUG,0.9934017560709744,0.991568910535134,5.795647556446701e-19,24,-36.778190780966995,0.48068760416214806
CGW,0.9730066711992795,0.9695459880196999,1.7553665004358428e-29,45,1.7023359168674688,0.9820250714605492
DSI,0.9728068310095618,0.9693205272928389,2.0263130818312968e-29,45,-4.866221334377215,0.9514674636247686
DTCR,0.9979323636025319,0.9971939220320076,2.868704472729935e-18,20,45.290307657167546,0.4102046177173111
FPX,0.9738517162914396,0.9704993722262396,9.45249620784119e-30,45,1.8941116357253804,0.9721937658894073
GII,0.9720341508980049,0.9684487856285184,3.495381119359302e-29,45,-22.64918077866733,0.7950859349385236
GNR,0.9743375276355951,0.971047467076056,6.561960626725717e-30,45,-41.03133491454573,0.49129951272124084
GRID,0.9698104804956994,0.9659400292771994,1.5489135609743453e-28,45,-38.88901515954242,0.5334729278498009
GUNR,0.9750355114169506,0.9718349359575852,3.836615551137638e-30,45,-79.97458837033733,0.18736959806102949
IFRA,0.9959071939046236,0.9950545259680869,7.96677628566906e-28,30,5.1474982815672945,0.8942976094267939
IGE,0.9710814104909986,0.9673738990154856,6.708032311895224e-29,45,-73.03506389276788,0.14392668953123924
IGF,0.9735856020254479,0.9701991407466591,1.1511427770149868e-29,45,-37.558075539497366,0.6557417309063366
IZRL,0.9956103740495197,0.9946958686431696,1.8449286551017554e-27,30,-14.704513659670539,0.6271541555884366
JUST,0.9980161643671388,0.9976028652769594,1.3439050062254934e-31,30,-22.93499736857345,0.42512754475268943
KOMP,0.9840902286803906,0.9804743715622977,5.212845392350734e-19,28,-47.83130613427855,0.4539796302763388
LIT,0.95782829648448,0.9524216678286441,1.030514870633541e-25,45,-33.63013346145892,0.47531941793121624
MOO,0.9673652343190258,0.9631812900009522,7.047565965656024e-28,45,27.920782675472363,0.7352698436335272
MSOS,0.9891851898246528,0.985580253099537,3.450074771376719e-14,21,55.874967798515954,0.15714557638603938
NFRA,0.9728718629068227,0.9693938966128256,1.9340639800845063e-29,45,29.50141039140584,0.769839046095737
PAVE,0.9847677635916419,0.9819469790715756,1.2229280267186718e-23,33,-8.902375580494787,0.8695331911267254
PBW,0.9707949455773321,0.9670507078308362,8.12625416892763e-29,45,-28.05203718041198,0.36248962310396227
PHO,0.9705250315683994,0.9667461894617839,9.719127081337999e-29,45,20.677915766148146,0.7860893485172378
PRNT,0.9997895730898957,0.9996142173314755,6.113224319677896e-11,12,28.327671266162838,0.34774664189418625
PWRD,0.9997548515779828,0.9996186580101956,5.849783769438894e-16,15,13.548343759325235,0.4866138584807478
ROBO,0.9688378767771387,0.9648427327742078,2.870369301632709e-28,45,-25.82473388462609,0.6500558635963218
ROBT,0.9982225944378466,0.9978523016123979,3.5963595070174886e-32,30,-1.1167028711239197,0.9503970343970807
SAMT,0.9986290176205578,0.9978673607430899,1.3513001507684524e-12,15,-15.832286293210046,0.815059320836153
SIXG,0.9926179898651483,0.9908603684044692,1.237664576630996e-21,27,2.5791051250641033,0.9646503301269413
SUSA,0.973598000145012,0.9702131283687314,1.1406730174774922e-29,45,-3.464642884378037,0.96544396163795
XT,0.9948380292896325,0.9941006049024371,5.712843742168581e-39,41,18.55527683035919,0.5706350455870084
