lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.9984251577844935,-22.24042850436958,0.1930852810855462,8558.787348582275,1.4544545301977135e-38,AIQ
2,0.9983653754417587,9.666149893396991,0.5810348800335118,7939.896544015762,5.9488668969195305e-37,AIQ
3,0.9983613479092921,-1.1287223088610858,0.950072247149818,7615.720823006036,1.5173454100906438e-35,AIQ
4,0.9992127649782697,24.33021484059492,0.08492681158462682,15231.224283422007,5.665690880627484e-38,AIQ
5,0.9991752235182088,6.927418622572732,0.6289598909503245,13931.671579072749,3.450381289161473e-36,AIQ
6,0.999199695436433,-13.625051399658844,0.3454381340700071,13733.767305802341,8.625975635096596e-35,AIQ
7,0.9991883608977461,11.25460721934769,0.4559397957789687,12926.284305785153,3.534362569480748e-33,AIQ
8,0.9993030781046992,-24.039777577602365,0.09263816883205907,14338.810200151182,2.702969158316356e-32,AIQ
9,0.9992871972822075,-1.6212895985450793,0.9105512944458539,13318.170844776118,1.2682614613493448e-30,AIQ
10,0.9994133151831983,-13.861471427676662,0.37570709954994563,15331.434492687202,8.234621479133445e-30,AIQ
11,0.9995460172322634,1.629515390186313,0.9106848363842363,18714.677627155026,3.8444536563206076e-29,AIQ
12,0.9996537202195344,-1.0333743105840938,0.9302507710123953,23094.70611019481,2.0673645648832115e-28,AIQ
13,0.9996706334631169,0.2432434046862113,0.9836913995587255,22763.483570383636,7.631256493648949e-27,AIQ
14,0.9996721382230422,4.195067200760548,0.7325054929416535,21343.460748893493,4.0722601879857492e-25,AIQ
15,0.9997156445703943,17.883789972332522,0.16406943426944312,22852.21597040565,8.914560039270477e-24,AIQ
1,0.9986872294290611,-16.69698905134402,0.09566964795239,9128.97273784634,2.6197870328604917e-35,ARKF
2,0.9985577905401379,-2.6041613633086484,0.8040771232739775,7962.376416744471,2.1321900325196674e-33,ARKF
3,0.9985527307440367,1.6696779044828318,0.876212199818994,7589.520742547156,5.835024748250662e-32,ARKF
4,0.9986043909429615,11.262965367301803,0.3789736108457593,7513.09691780831,1.0471760037846111e-30,ARKF
5,0.9985552544570298,-3.9089100529809997,0.7626274445816881,6911.634088893825,3.9619923573304934e-29,ARKF
6,0.9986808496292376,5.00442749215221,0.6830469183240453,7192.105071383724,4.393350845859647e-28,ARKF
7,0.999576174712256,-6.594164871224592,0.3707432630013693,21226.165197214657,4.4124702458461765e-31,ARKF
8,0.9996984140025628,-10.759424875818098,0.09485786499695574,28175.832403461493,1.1884884748407229e-30,ARKF
9,0.9996879845196235,-4.01342753708812,0.5387801280538317,25631.75348385543,8.982746289757444e-29,ARKF
