model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,,,,,0,44,False,{},N-C,C,W,raw,SPY,
multilag_ols,,,,,0,44,False,{},N-C,C,W,raw,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-C,C,W,raw,SPY,
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-C,C,W,raw,SPY,
panel_pooled,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_fe,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-C,C,W,raw,SPY,
asymmetry,,,,,0,44,False,{},N-C,C,W,raw,SPY,
relative_performance,0.11855447262282831,,,,18860,44,False,"{""r2_absolute_median"": 0.07236990540243804, ""r2_excess_median"": 0.0866866093604679, ""r2_combined_median"": 0.11855447262282831}",N-C,C,W,raw,SPY,0.0
granger,,,0.04692043713657984,3.9752963285998297,0,44,False,"{""pct_significant_lag1"": 0.5227272727272727}",N-C,C,W,raw,SPY,
seasonality,,,,,19388,44,False,"{""jan_mean"": 7.028632016756434, ""best_month"": 2, ""worst_month"": 8}",N-C,C,W,raw,SPY,
drawdown,0.021493362543475003,-0.09753344105065337,0.8613012068206904,,1132,44,False,"{""1m"": {""beta_depth"": -0.09753344105065337, ""beta_depth_p"": 0.8613012068206904, ""r2"": 0.021493362543475003}, ""2m"": {""beta_depth"": 1.3871725318856598, ""beta_depth_p"": 0.45983480538274635, ""r2"": 0.01163687069651187}, ""3m"": {""beta_depth"": 1.6936866955290637, ""beta_depth_p"": 0.6177766702366211, ""r2"": 0.007527255245607711}, ""6m"": {""beta_depth"": 4.239456329375718, ""beta_depth_p"": 0.45005778669615726, ""r2"": 0.011154632227185046}}",N-C,C,W,raw,SPY,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-C,C,W,raw,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-C,C,W,raw,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
multilag_ols,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
cross_correlation,,0.10070082106990683,0.03651552586986663,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.10070082106990683}",N-C,C,W,pct_aum,SPY,
panel_pooled,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
asymmetry,,,,,0,44,False,{},N-C,C,W,pct_aum,SPY,
relative_performance,0.10689477529722263,,,,18851,44,False,"{""r2_absolute_median"": 0.07091941680307007, ""r2_excess_median"": 0.08095711612915718, ""r2_combined_median"": 0.10689477529722263}",N-C,C,W,pct_aum,SPY,0.0
granger,,,0.06761467712754694,3.3776021788347954,0,42,False,"{""pct_significant_lag1"": 0.4523809523809524}",N-C,C,W,pct_aum,SPY,
seasonality,,,,,19343,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-C,C,W,pct_aum,SPY,
