ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.22691854677518752,0.06199450342056079,0.17725408216358812,92,413.11630627223855,0.21713445925115385,-78.21822636834027,0.8135583927271437,539.2029619478867,0.10257938110589629
ARKB,0.7895975208513258,0.3086775685114992,0.25946764044558984,24,-533.8787500378982,0.2937073940736226,292.78330847916976,0.4334410960068147,226.22823261083607,0.4985221340553384
ARKF,0.5949098148559406,0.49670613360889593,6.37801992645235e-08,83,57.826647413343366,0.735236599515122,135.49621159833333,0.4280449048832331,100.86495620602592,0.5620659764264992
ARKG,0.4835003256492594,0.41346647150000637,6.453997102413277e-11,135,619.281972631569,0.016196971730625346,388.16757912047564,0.13965122950677092,-100.53775032052317,0.7030617151639598
ARKK,0.5471447144131791,0.48574060789293216,6.354704613761988e-14,135,198.6335721762078,0.5739409013222585,805.859572825176,0.022999372010531746,-117.88400881886588,0.7382060335097966
ARKQ,0.693282162155267,0.4702146437227338,0.007309419226244433,39,-26.5959448671823,0.7279365208075552,-55.10576903873552,0.43934085871622086,113.40190851386954,0.1372099650808706
ARKW,0.4852170771021065,0.11082949681272936,0.28152293001027445,39,113.70406498333833,0.23658058197144283,46.67333741114646,0.6113406183383993,117.81043804974856,0.21558226712207568
ARKX,0.52436051170479,0.3387451016383667,0.003749027262076821,58,-22.653563031244516,0.7091642760157573,-145.41625246009744,0.02060465382969611,77.59948261452698,0.20530938195952814
ARTY,0.22105030736547693,0.052628752201255735,0.2128507076125781,91,111.2972532269044,0.08387952556384916,46.044715133641084,0.4743880754174743,87.74562297555644,0.16163919033716354
BKGI,0.5443624504334162,0.19721003171601914,0.16538572036603366,38,243.24166633698593,0.07951823986204339,195.10723842948045,0.2151573452358269,6.177818446575756,0.9664939629025375
BLOK,0.2908271800302916,0.14719724180857852,0.021111004463612332,96,163.533479988605,0.04430462721488179,-106.80010327899475,0.19203408220109322,-14.735890866087022,0.8509375161306053
BOTZ,0.22111542148649188,0.08993486089474312,0.06264511207090305,112,222.79146050293596,0.14986258245005238,77.29926127723104,0.616879960893798,239.03239723222634,0.12049020103196377
BUG,0.4059525837121474,0.24207743439136042,0.006130064915621458,75,64.31298298429812,0.6735375061787865,469.5236862180728,0.0028683666888807695,147.74888647732632,0.33268924338691896
CGW,0.15532904638521983,0.04721116432252803,0.1352205588352885,142,46.07245579974199,0.09059415084892451,9.256645061869438,0.7321681400845336,15.4065090018261,0.56068337146738
DSI,0.2599995602176399,0.16527950392549795,0.0008700507263474774,142,-120.03600222079695,0.2530226908494951,0.9287609509353985,0.9929038620697734,81.71955306503739,0.4207519110606285
DTCR,0.298145674365635,0.05402243066672541,0.28885646778135493,63,80.1824431639358,0.34476247974788043,-20.202213269881412,0.8075744490677905,142.96923620414142,0.10961453574009834
EUAD,1.0,,,15,739.049243571048,,35.05492407276299,,-727.0751480811764,
FPX,0.3309273041686642,0.24528599910225335,7.774723462553986e-06,142,71.65420033796269,0.07431834010110905,63.478891797632485,0.11021855538576507,32.32560757606925,0.40713407938076784
GII,0.09261277197143136,-0.023532793216225256,0.6862111473696527,142,54.74419421277596,0.11679358824302645,38.4895244645625,0.27332954238467744,31.37363842006239,0.3649167098084656
GNR,0.19077770649102255,0.08719725292187352,0.03250912575484055,142,433.51703025285343,0.00507782706855697,329.9997260568008,0.03356296212186729,210.02088254505392,0.15635479945121833
GRID,0.08493272428979404,-0.03219588700111231,0.7640685920065782,142,496.9219158239648,0.04656623747035165,220.8998184490125,0.385782509626723,148.2447506092479,0.5491638739619789
GRNY,1.0,,,14,543.5465702811161,,-525.8520064660722,,1015.2689016794516,
GUNR,0.32790463192908825,0.24187642481601157,9.698205260465369e-06,142,682.1563576886515,0.004837629611909333,698.0192174981289,0.00392964353063562,649.5093518412313,0.005797613153686043
IFRA,0.19229849355840822,0.022256071149652112,0.34344799181348357,93,184.4675752201737,0.4920795285631627,501.58169403222007,0.07527909721756317,169.77756666195188,0.5183936882625393
IGE,0.09102836405832815,-0.025320005342205798,0.7027990412732409,142,117.65236739708882,0.15305527630465496,-62.24402273316593,0.4555172600594546,84.75298957112787,0.29425904676927767
IGF,0.13226181159333084,0.021191323477277257,0.28435533117322126,142,313.17495669771955,0.20560297132288724,227.36803951400805,0.3590174416925016,374.5697025930486,0.12850228726709823
IZRL,0.5279001239252867,0.4334801487103441,7.720118803004078e-08,97,14.670001918755107,0.6348856495486888,31.80083474200056,0.30336894796803426,7.232522602857376,0.8135894288787056
JUST,0.17017139301200057,-0.009251008498918134,0.51989017341876,91,17.99579414553483,0.6124382396997785,-40.882828600786155,0.2486731782572586,42.82515254396217,0.20948495686624444
KOMP,0.1422247283450504,-0.05383819089036668,0.7591074654258797,87,-82.27686020711987,0.5044315527070498,114.44079424982728,0.3493440892362667,-27.8421546479534,0.8127140656044528
LIT,0.49895214148530065,0.4348180155954192,1.716941090189425e-12,142,237.89588435678866,0.008886929838935938,147.7447467016412,0.10080909017590423,126.04756582632973,0.15293897117906186
MOO,0.22941793428194013,0.13078342987002856,0.00488769261002045,142,420.09553375882086,0.010144903905304445,214.12041069778542,0.19646389391831198,154.13301071291764,0.331462145388866
MSOS,0.3839735262952495,0.1742623863106536,0.055021972164214214,64,26.346022412875435,0.6521008228599349,57.41055086134543,0.3236052476484754,19.58589006141441,0.7331324173224124
NFRA,0.17599247875398794,0.07051951603449846,0.06125038521569474,142,-35.64402177516253,0.7953578308844906,-2.505000075164613,0.9857785347579667,76.3182956949566,0.5786961378366622
PAVE,0.2832599803340835,0.15440784196717716,0.010393647119370915,106,490.3797371956383,0.13662127779212854,663.2206443126695,0.051699458010597395,359.34713310163164,0.26731388850470644
PBW,0.5077086028642515,0.44469530403087565,6.416553579584236e-13,142,95.06820155184128,0.05144274813614863,61.44072643715185,0.2142815028855718,17.939974455050102,0.7111455744185979
PHO,0.18959359985477042,0.0858615806361811,0.03426785044965728,142,131.07850786251998,0.0015403986096644705,55.90655853538877,0.17095180886217234,42.03759267516264,0.283820360588871
PRNT,0.5275661938978067,0.18397797127802973,0.1730436064547256,39,-5.303654339198159,0.4033039750717301,2.9898476158791367,0.6086879044537452,2.5936457294482835,0.6631506073358717
PWRD,0.491609503112032,0.22046790477178235,0.07774959722106141,47,100.32253076429555,0.21797796282078793,76.30384077596611,0.3362537886533872,4.844659016932589,0.9521713198016959
ROBO,0.25868578338921033,0.16379756366302933,0.0009406859386888598,142,89.05455430291482,0.30710231390697645,32.94483867147924,0.7069332540169175,47.991790408052225,0.5750108401999978
