Variable,(1) Base,(1) Base_se,(2) + VIX,(2) + VIX_se,(3) + Calendar,(3) + Calendar_se,(4) + Peer,(4) + Peer_se
LOWPERF,13.2175**,(5.2863),13.2016**,(5.3219),13.2125**,(5.3001),22.5900**,(9.9207)
MIDPERF,1.9944,(1.2512),1.9949,(1.2537),1.9918,(1.2433),2.6843,(4.2088)
HIGHPERF,17.3384***,(4.3802),17.3386***,(4.3804),17.4078***,(4.3852),21.6140,(13.2016)
VIX_Close,,,-0.0114,(0.0492),-0.0092,(0.0492),0.0464,(0.1444)
quarter_end,,,,,-0.2195,(0.2481),-0.0276,(0.5872)
january,,,,,1.1759**,(0.5279),-0.1951,(1.2184)
Peer_Agg_Flow,,,,,,,0.1481***,(0.0434)
R² within,0.0233,,0.0233,,0.0247,,0.1731,
N,4550,,4550,,4550,,505,
ETFs,47,,47,,47,,6,
