horizon,beta,se,ci_lower,ci_upper,p_value,n_obs,r2
0,327.8664531455128,35.26943182891666,258.73963700564553,396.9932692853801,1.457583111593147e-20,4124,0.05775341783457999
1,116.35061916032535,31.143133802095953,55.31119854250532,177.39003977814536,0.0001869737388981873,4118,0.0072898828963609
2,-151.57503098362244,31.834722380806358,-213.96994030783412,-89.18012165941077,1.9233886376090563e-06,4112,0.012488349767958207
3,-161.9507498516932,33.38697357200847,-227.3880156056204,-96.51348409776598,1.2301615735225195e-06,4106,0.014297927640796404
4,-131.88445750359887,29.769190072874647,-190.23099789536047,-73.53791711183726,9.413119202454161e-06,4100,0.009508998967335813
5,-54.00016420338471,28.037628118948362,-108.952905528451,0.9525771216815784,0.054105743533908075,4094,0.0016024385297528365
6,35.91988885287006,30.766277279576798,-24.380906553473416,96.22068425921353,0.24300509585347319,4088,0.0007100580616474783
7,28.452912797768196,29.682180626644605,-29.723092213067762,86.62891780860416,0.33776751791901294,4082,0.0004470405964238644
8,7.388903222924135,27.398677620723724,-46.31151813771794,61.08932458356621,0.7874056664929723,4076,3.0376924951669437e-05
9,26.62413782376256,35.766457286759156,-43.47683031287557,96.7251059604007,0.45664150239743295,4070,0.0004010149615015779
10,7.485711424716356,28.22433939703085,-47.83297728089905,62.804400130331764,0.7908385659118901,4064,3.1851445296715575e-05
11,-30.510962528153655,26.977928256947305,-83.38673028927582,22.3648052329685,0.2580718529305842,4058,0.0005326911175863591
12,-10.17680677542861,29.752161790759125,-68.48997234752521,48.13635879666799,0.7323112452007401,4052,5.9565009820516934e-05
13,-8.862573048280288,33.428808930453336,-74.38183459803975,56.656688501479174,0.790918697716299,4046,4.530914495226579e-05
14,7.078525526502478,34.94068970967577,-61.40396789945132,75.56101895245627,0.8394579408372785,4040,2.8883127437429046e-05
15,-32.153905767473844,25.417528229272957,-81.97134567287898,17.663534137931286,0.2058609965430549,4034,0.000596212536022378
16,-53.94180198915926,27.26736119773784,-107.38484789017038,-0.49875608814814143,0.047899912293441434,4028,0.001692340379227164
17,-25.659783899108238,31.098972515203755,-86.61264998510862,35.293082186892136,0.4093144240333675,4022,0.00038590347716704887
18,50.79362596795845,29.59348390447299,-7.2085366618743905,108.79578859779129,0.08609274914926114,4016,0.0015140621031778378
19,16.370330460349674,26.912054736013,-36.37632757220641,69.11698849290575,0.5429952338961259,4010,0.00015708637624634036
20,-18.268601877433802,31.130302106211712,-79.28287283346015,42.74566907859254,0.5573091113936754,4004,0.0001993069587504781
21,22.69840555722343,21.657196090627124,-19.74891878652739,65.14572990097426,0.29460320762503045,3998,0.00030780584038536674
22,-48.36542230848696,31.903953504127944,-110.8960221410182,14.16517752404426,0.12952705001783021,3992,0.0014037005040549166
23,-74.20087728524544,29.02841219719145,-131.0955197201239,-17.306234850366977,0.01058385168092813,3986,0.003323656100025607
24,-7.6460914704845635,28.13990457146207,-62.79929095894424,47.50710801797511,0.7858396009376277,3980,3.5352179455494515e-05
25,37.07435363567886,28.96546513791902,-19.696914830092922,93.84562210145064,0.20056264189403283,3974,0.000830795467198886
26,42.930483541253,22.70062704947072,-1.5619279021853671,87.42289498469137,0.05860319082133758,3968,0.0011155069801738193
27,-39.501579016812165,21.47183995874371,-81.58561201775784,2.582453984133508,0.06581342207547451,3962,0.000965428669667423
28,-20.343152660393898,29.912381458190474,-78.97034301027094,38.284037689483135,0.49644660482227987,3956,0.0002560968823300813
29,27.38254471801855,29.868201428699997,-31.158054365221233,85.92314380125833,0.35925837342873557,3950,0.00046559078346875005
30,-28.7320682249109,24.85067155245842,-77.43848945936347,19.97435300954167,0.24760393827356586,3944,0.000513104817059129
